,precision,recall,f1-score,support
Benign,0.993640152980104,0.9997117698770699,0.9966667145586988,69389.0
Bot,0.9523809523809523,1.0,0.975609756097561,20.0
Brute Force -Web,0.0,0.0,0.0,14.0
Brute Force -XSS,0.0,0.0,0.0,6.0
DDOS attack-HOIC,0.9973977695167286,1.0,0.9986971896519635,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.995627732667083,0.9912935323383084,0.9934559052664381,1608.0
DoS attacks-GoldenEye,1.0,0.9927007299270073,0.9963369963369964,137.0
DoS attacks-Hulk,1.0,0.9990574929311969,0.9995285242809995,2122.0
DoS attacks-SlowHTTPTest,1.0,1.0,1.0,91.0
DoS attacks-Slowloris,1.0,1.0,1.0,48.0
FTP-BruteForce,1.0,1.0,1.0,216.0
Infilteration,0.7692307692307693,0.08695652173913043,0.15625,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9980506822612085,1.0,0.9990243902439024,512.0
accuracy,0.9940125,0.9940125,0.9940125,0.9940125
macro avg,0.7804218706024564,0.7313146697875141,0.7375291931659461,80000.0
weighted avg,0.9926074765337922,0.9940125,0.9917381492001778,80000.0
