,precision,recall,f1-score,support
Benign,0.9936874496721501,0.9959071322543919,0.9947960527736391,69389.0
Bot,0.9523809523809523,1.0,0.975609756097561,20.0
Brute Force -Web,0.0,0.0,0.0,14.0
Brute Force -XSS,0.0,0.0,0.0,6.0
DDOS attack-HOIC,0.9973953488372093,0.9990682072307119,0.9982310771808957,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.995627732667083,0.9912935323383084,0.9934559052664381,1608.0
DoS attacks-GoldenEye,1.0,0.9927007299270073,0.9963369963369964,137.0
DoS attacks-Hulk,1.0,0.9990574929311969,0.9995285242809995,2122.0
DoS attacks-SlowHTTPTest,1.0,1.0,1.0,91.0
DoS attacks-Slowloris,1.0,1.0,1.0,48.0
FTP-BruteForce,1.0,1.0,1.0,216.0
Infilteration,0.13793103448275862,0.09565217391304348,0.11296534017971759,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9941747572815534,1.0,0.997078870496592,512.0
accuracy,0.9907,0.9907,0.9907,0.9907
macro avg,0.7380798183547804,0.7315786179063106,0.7343580629110316,80000.0
weighted avg,0.9889935581490974,0.9907,0.9898230047032875,80000.0
