,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,67344,0,0,0,0,0,6,0,1,0,167,1,1870,0,0
Bot,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,1,0,5365,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,14,0,0,0,0,0,1594,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0
DoS attacks-Hulk,1,0,0,0,0,0,0,0,2121,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0
Infilteration,395,0,0,0,0,0,0,0,0,0,0,0,65,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
