,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,66350,162,38,6,0,0,106,6,20,17,300,5,2307,0,72
Bot,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,4,0,1,2,7,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,1259,4090,0,17,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,0,0,0,0,0,0,1594,0,0,0,0,0,14,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,129,8,0,0,0,0,0,0
DoS attacks-Hulk,1,0,0,0,0,0,0,60,2060,0,0,0,1,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0
Infilteration,418,2,0,3,0,0,1,0,0,0,2,0,34,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
