jaccard_at_5,jaccard_at_10,kendall_tau,n_runs,instance,true_class,pred_label,LIME,Random,TreeSHAP,advantage
0.6613756613756614,0.7312095312095312,0.7198980356875092,10,1571748,Analysis,0,0.5330923832871802,0.5709112016486196,0.7166894375816879,-0.03781881836143941
0.8222222222222222,0.7127169127169128,0.5919628130154445,10,1124981,Analysis,3,0.380185333417138,0.1647509260357801,0.3313822577407855,0.2154344073813579
0.6116402116402117,0.7279461279461279,0.6959664117558854,10,1259370,Analysis,0,0.5284857329157234,0.3311425906598048,0.6318440075835271,0.19734314225591865
1.0,0.7532245532245534,0.7281151596941072,10,1016305,Analysis,0,0.6812313185243647,0.5437293160910739,0.6332331701384717,0.1375020024332908
0.7555555555555554,0.7343693343693344,0.6100164942270205,10,1764370,Analysis,3,0.2583045192247585,0.0945073439091011,0.1989839181847197,0.1637971753156574
0.8444444444444443,0.882828282828283,0.613435297645824,10,1046218,Analysis,1,0.340641514497168,0.2396625046899791,0.2967188811163446,0.10097900980718891
0.6656084656084656,0.7584563584563584,0.7070025491078122,10,1781662,Analysis,0,0.2612215844338977,0.1683491745376416,0.2476307111258389,0.09287240989625611
0.6857142857142857,0.8276094276094278,0.7617034038086669,10,1045716,Analysis,8,0.375487288166518,0.3075281549698473,0.3107291921651099,0.06795913319667068
0.8148148148148147,0.9636363636363636,0.6510421352526615,10,1046503,Analysis,1,0.3832432397443728,0.1472609654041655,0.343565146509662,0.2359822743402073
0.8148148148148147,0.9151515151515152,0.6124756335282651,10,1049376,Analysis,1,0.3515175726018502,0.1828156617782384,0.3262603175439119,0.16870191082361177
0.8148148148148147,0.8909090909090911,0.5973609236767131,10,1048013,Analysis,1,0.3737267616401758,0.1241882045351656,0.3285586111158708,0.24953855710501022
0.8444444444444441,0.9353535353535354,0.6184135552556606,10,1047359,Analysis,1,0.3443171378350549,0.1362223687921802,0.2957720299651925,0.20809476904287472
0.6708994708994709,0.7090391090391092,0.5753486279802069,10,1299541,Analysis,0,0.3349954938677226,0.1958279001825068,0.3088680021746519,0.1391675936852158
0.8814814814814813,0.870707070707071,0.5989203778677463,10,1046184,Analysis,1,0.3694187389578292,0.1816384688281074,0.3263635867739456,0.18778027012972176
0.8444444444444443,0.681947681947682,0.6125356125356126,10,1631161,Analysis,3,0.2482747644114419,-0.0184084363131106,0.1322652753407646,0.2666832007245525
0.8444444444444443,0.8707070707070709,0.6064777327935224,10,1046933,Analysis,1,0.3602914600377129,0.200187280962977,0.3274259872526944,0.1601041790747359
0.8222222222222221,0.927946127946128,0.5754685859949018,10,1713014,Analysis,1,0.3198806715862235,0.1571517987765918,0.1929662992962079,0.16272887280963172
0.8148148148148147,0.9151515151515154,0.6438446543709702,10,1048616,Analysis,1,0.3915394685333699,0.1480081807636211,0.3566683541558736,0.2435312877697488
0.5788359788359787,0.7285159285159286,0.6789923526765632,10,1455448,Analysis,0,0.511480855871931,0.3091701929726113,0.6309546657592222,0.20231066289931976
0.8814814814814813,0.9070707070707072,0.6484030589293748,10,1048024,Analysis,1,0.3725012705380232,0.1970854529828852,0.3420820630025679,0.17541581755513797
0.8222222222222219,0.8727272727272729,0.5819463187884241,10,1712869,Analysis,1,0.3848698595636731,0.1869539538358316,0.2718130571700335,0.19791590572784148
0.874074074074074,0.7515151515151514,0.5838656470235418,10,1501463,Analysis,1,0.4912732382981848,0.3164635021848976,0.3925792571539487,0.1748097361132872
0.8444444444444441,0.8653198653198655,0.5826060878692458,10,996895,Analysis,1,0.2840681781778787,0.0938720516107246,0.25069001215782,0.19019612656715412
0.7703703703703701,0.716032116032116,0.6102564102564103,10,1454900,Analysis,0,0.2503605109792436,0.1024536706613536,0.2640460667745766,0.14790684031789003
0.7703703703703701,0.8389018389018389,0.7104813315339632,10,1455855,Analysis,0,0.2037135027668226,0.2557895575943896,0.302454607579713,-0.052076054827567
0.9333333333333332,0.8794612794612797,0.5967611336032389,10,1131152,Analysis,1,0.323885462001089,0.13688502455131,0.2603313539827904,0.18700043744977898
0.7068783068783069,0.6572390572390573,0.6136152346678662,10,1896250,Analysis,0,0.218847768820221,0.1074781309476175,0.2111573031489123,0.1113696378726035
