,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,59923,137,44,6,14,0,103,15,64,115,381,3,8516,0,68
Bot,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,4,0,1,0,9,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,5356,0,1,9,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,14,0,0,0,0,0,1594,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,133,4,0,0,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,83,2038,1,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0
Infilteration,345,1,0,1,0,0,1,0,0,0,7,0,105,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
