,precision,recall,f1-score,support
Benign,0.9939622140760032,0.8635806828171613,0.9241956877139949,69389.0
Bot,0.12658227848101267,1.0,0.2247191011235955,20.0
Brute Force -Web,0.022222222222222223,0.07142857142857142,0.03389830508474576,14.0
Brute Force -XSS,0.0,0.0,0.0,6.0
DDOS attack-HOIC,0.9947994056463596,0.9981364144614238,0.9964651162790698,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.9376470588235294,0.9912935323383084,0.9637243047158404,1608.0
DoS attacks-GoldenEye,0.5541666666666667,0.9708029197080292,0.7055702917771883,137.0
DoS attacks-Hulk,0.9672520170859041,0.9604147031102733,0.963821234334358,2122.0
DoS attacks-SlowHTTPTest,0.4396135265700483,1.0,0.610738255033557,91.0
DoS attacks-Slowloris,0.11009174311926606,1.0,0.19834710743801653,48.0
FTP-BruteForce,0.9863013698630136,1.0,0.993103448275862,216.0
Infilteration,0.012179561535784712,0.22826086956521738,0.02312520647505781,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.8827586206896552,1.0,0.9377289377289377,512.0
accuracy,0.875575,0.875575,0.875575,0.875575
macro avg,0.5351717789852978,0.7322611795619323,0.5681870278021904,80000.0
weighted avg,0.9834131483331786,0.875575,0.9244051562593316,80000.0
