,precision,recall,f1-score,support
Benign,0.9954290589956118,0.7061493896727147,0.8261994890947872,69389.0
Bot,0.9090909090909091,1.0,0.9523809523809523,20.0
Brute Force -Web,0.0,0.0,0.0,14.0
Brute Force -XSS,0.005154639175257732,0.16666666666666666,0.01,6.0
DDOS attack-HOIC,0.9972868217054264,0.9590011181513232,0.9777693330799924,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.9932056825200741,1.0,0.9965912612333436,1608.0
DoS attacks-GoldenEye,1.0,0.9927007299270073,0.9963369963369964,137.0
DoS attacks-Hulk,0.993439550140581,0.9990574929311969,0.9962406015037594,2122.0
DoS attacks-SlowHTTPTest,1.0,1.0,1.0,91.0
DoS attacks-Slowloris,1.0,1.0,1.0,48.0
FTP-BruteForce,1.0,1.0,1.0,216.0
Infilteration,0.011701301223538551,0.5239130434782608,0.022891337386018236,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9903288201160542,1.0,0.9951409135082604,512.0
accuracy,0.7393375,0.7393375,0.7393375,0.7393375
macro avg,0.7263757855311636,0.7498325627218114,0.7147279537051161,80000.0
weighted avg,0.9895133152910941,0.7393375,0.8416566191153717,80000.0
