,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,48999,2,5,1,1,0,8,0,14,0,0,0,20355,0,4
Bot,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,4,0,0,0,9,0,1,0,0,0,0,0,0,0,0
Brute Force -XSS,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,9,191,5146,0,0,0,0,0,0,0,0,20,0
DDOS attack-LOIC-UDP,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,136,0,0,0,0,0,0,1
DoS attacks-Hulk,2,0,0,0,0,0,0,0,2120,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0
Infilteration,218,0,0,1,0,0,0,0,0,0,0,0,241,0,0
SQL Injection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
