,precision,recall,f1-score,support
Benign,0.9967135729437423,0.4726894030633209,0.6412617253575273,70577.0
Bot,0.14114114114114115,1.0,0.24736842105263157,47.0
Brute Force -Web,0.005154639175257732,0.16666666666666666,0.01,12.0
Brute Force -XSS,0.045454545454545456,0.2,0.07407407407407407,5.0
DDOS attack-HOIC,0.9914458585437096,0.9875311720698254,0.9894846434148881,4812.0
DDOS attack-LOIC-UDP,0.34782608695652173,0.8888888888888888,0.5,9.0
DDoS attacks-LOIC-HTTP,0.9240924092409241,0.9836065573770492,0.952921157118548,854.0
DoS attacks-GoldenEye,0.4014084507042254,0.9344262295081968,0.5615763546798029,122.0
DoS attacks-Hulk,0.9374697043141057,0.936108422071636,0.9367885686606927,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,0.03671970624235006,0.9375,0.0706713780918728,32.0
FTP-BruteForce,0.9692307692307692,1.0,0.984375,63.0
Infilteration,0.02671713236112657,0.8880666049953746,0.051873666009239996,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,0.3945409429280397,1.0,0.5658362989323843,318.0
accuracy,0.530375,0.530375,0.530375,0.530375
macro avg,0.4145276639490972,0.693032262976064,0.43908208582611075,80000.0
weighted avg,0.9764685684045231,0.530375,0.6644293279031135,80000.0
