,precision,recall,f1-score,support
Benign,0.9944357503042949,0.9723847712427561,0.9832866486614275,70577.0
Bot,1.0,1.0,1.0,47.0
Brute Force -Web,0.0,0.0,0.0,12.0
Brute Force -XSS,1.0,0.2,0.3333333333333333,5.0
DDOS attack-HOIC,0.9968924798011187,1.0,0.9984438219732338,4812.0
DDOS attack-LOIC-UDP,1.0,0.8888888888888888,0.9411764705882353,9.0
DDoS attacks-LOIC-HTTP,0.9988304093567252,1.0,0.9994148624926857,854.0
DoS attacks-GoldenEye,1.0,1.0,1.0,122.0
DoS attacks-Hulk,1.0,0.9980638915779284,0.999031007751938,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,1.0,1.0,1.0,32.0
FTP-BruteForce,1.0,1.0,1.0,63.0
Infilteration,0.26535996984545795,0.6512488436632747,0.37707552222817353,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,1.0,1.0,1.0,318.0
micro avg,0.9706375,0.9706375,0.9706375,80000.0
macro avg,0.7503679072871731,0.7140390930248566,0.7087841111352684,80000.0
weighted avg,0.9847899232377848,0.9706375,0.9764898465365955,80000.0
