,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,35480,216,36,3,53,0,72,32,154,108,488,3,32465,1,278
Bot,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,4,0,0,0,9,0,0,0,1,0,0,0,0,0,0
Brute Force -XSS,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,16,5333,0,8,9,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,14,0,0,0,0,0,1594,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,127,10,0,0,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,72,2049,0,0,0,1,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0
Infilteration,121,1,0,1,0,0,1,0,2,0,5,0,328,0,1
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
